,index,File,Start Date,End Date,Subject,Experiment,Group,Box,Start Time,End Time,MSN,cage
0,./example_recordings/2022-05-05_12h23m_Subject 1.3.txt,C:\MED-PC\Data\2022-05-05_12h23m_Subject 1.3.txt,05/05/22,05/05/22,1.3,Pilot of Pilot,Cage 2,1,12:23:04,13:25:29,levelNP_CS_reward_laserepochON1st_noshock,2
1,./example_recordings/2022-05-08_11h14m_Subject 1.3.txt,C:\MED-PC\Data\2022-05-08_11h14m_Subject 1.3.txt,05/08/22,05/08/22,1.3,Pilot of Pilot,Cage 2,4,11:14:36,12:19:20,levelNP_CS_reward_laserepochON1st_noshock,2
2,./example_recordings/2022-05-09_11h19m_Subject 2.1.txt,C:\MED-PC\Data\2022-05-09_11h19m_Subject 2.1.txt,05/09/22,05/09/22,2.1,Pilot of Pilot,Cage 2,3,11:19:47,12:24:58,levelNP_CS_reward_laserepochON1st_noshock,2
3,./example_recordings/2022-05-12_10h22m_Subject 2.1.txt,C:\MED-PC\Data\2022-05-12_10h22m_Subject 2.1.txt,05/12/22,05/12/22,2.1,Pilot of Pilot,Cage 2,2,10:22:56,11:27:32,levelNP_CS_reward_laserepochON1st_noshock,2
4,./example_recordings/2022-05-07_08h53m_Subject 2.2.txt,C:\MED-PC\Data\2022-05-07_08h53m_Subject 2.2.txt,05/07/22,05/07/22,2.2,Pilot of Pilot,Cage 1,1,08:53:20,10:21:47,levelNP_CS_reward_laserepochON1st_noshock,1
5,./example_recordings/2022-05-09_09h48m_Subject 1.1.txt,C:\MED-PC\Data\2022-05-09_09h48m_Subject 1.1.txt,05/09/22,05/09/22,1.1,Pilot of Pilot,Cage 1,2,09:48:49,11:00:54,levelNP_CS_reward_laserepochON1st_noshock,1
6,./example_recordings/2022-05-09_11h19m_Subject 1.3.txt,C:\MED-PC\Data\2022-05-09_11h19m_Subject 1.3.txt,05/09/22,05/09/22,1.3,Pilot of Pilot,Cage 2,1,11:19:47,12:24:58,levelNP_CS_reward_laserepochON1st_noshock,2
7,./example_recordings/2022-05-09_11h19m_Subject 1.2.txt,C:\MED-PC\Data\2022-05-09_11h19m_Subject 1.2.txt,05/09/22,05/09/22,1.2,Pilot of Pilot,Cage 2,4,11:19:47,12:24:58,levelNP_CS_reward_laserepochON1st_noshock,2
8,./example_recordings/2022-05-04_10h11m_Subject 2.1.txt,C:\MED-PC\Data\2022-05-04_10h11m_Subject 2.1.txt,05/04/22,05/04/22,2.1,Pilot of Pilot,Cage 2,2,10:11:55,11:18:44,levelNP_CS_reward_laserepochON1st_noshock,2
9,./example_recordings/2022-05-04_10h11m_Subject 2.4.txt,C:\MED-PC\Data\2022-05-04_10h11m_Subject 2.4.txt,05/04/22,05/04/22,2.4,Pilot of Pilot,Cage 2,1,10:11:55,11:18:44,levelNP_CS_reward_laserepochON1st_noshock,2
10,./example_recordings/2022-05-04_08h43m_Subject 1.4.txt,C:\MED-PC\Data\2022-05-04_08h43m_Subject 1.4.txt,05/04/22,05/04/22,1.4,Pilot of Pilot,Cage 1,4,08:43:55,09:54:22,levelNP_CS_reward_laserepochON1st_noshock,1
11,./example_recordings/2022-05-16_09h46m_Subject 2.2.txt,C:\MED-PC\Data\2022-05-16_09h46m_Subject 2.2.txt,05/16/22,05/16/22,2.2,Pilot of Pilot,Cage 1,3,09:46:36,10:49:24,levelNP_CS_reward_laserepochON1st_noshock,1
12,./example_recordings/2022-05-10_10h42m_Subject 1.2.txt,C:\MED-PC\Data\2022-05-10_10h42m_Subject 1.2.txt,05/10/22,05/10/22,1.2,Pilot of Pilot,Cage 2,1,10:42:30,11:43:52,levelNP_CS_reward_laserepochON1st_noshock,2
